ym,Client,recovered,n
2026-03,AETNA_CHK,2990.74,17
2026-03,AHP_RX,386561.77,197
2026-03,AHP_RX ,-988.29,1
2026-03,AHRP_RX,666262.99,268
2026-03,Aetna,4732529.721818182,57
2026-03,Anthem Central,10183.65,2
2026-03,Anthem Commercial Expansion,1154264.58,2
2026-03,Anthem Retro Term Recovery Program,1223.11,1
2026-03,Anthem SE,31117.18,2
2026-03,BCBS GA,132141.01,2
2026-03,BCBS NC,486783.020909091,48
2026-03,BlueCross BlueShield South Carolina,154437.17,7
2026-03,CEN_RX,1171878.89,219
2026-03,Carefirst Commercial,233881.01,2
2026-03,Centene,4016773.529090909,8
2026-03,Centene Fidelis,271101.2,3
2026-03,Cigna,477954.545454545,1
2026-03,Elevance,893659.090909091,1
2026-03,Elixir,-2704.545454545,1
2026-03,Elixir Insurance,52748.17,7
2026-03,EmblemHealth,255545.2,27
2026-03,Empire,104947.65,2
2026-03,Excellus,169533.620909091,29
2026-03,HIP_RX,8671.47,3
2026-03,HSS_RX,2536.4,2
2026-03,Health Alliance Plan,7578.32,3
2026-03,HealthSpring,3558902.26,35
2026-03,Medical Mutual of Ohio,8344.63,6
2026-03,NY State Health Insurance Plan,285299.08,17
2026-03,NYSHIP,132575.772727273,1
2026-03,OSCAR,94320.61,2
2026-03,OSC_RX,19882.77,8
2026-03,Tufts,85316.54,7
2026-03,Wellcare,3378354.08,4
2026-03,Wellpoint Part D,599396.23,3
2026-04,AETNA_CHK,6240.21,8
2026-04,AHP_RX,837111.3,284
2026-04,AHP_RX ,219.62,1
2026-04,AHRP_RX,192401.52,132
2026-04,Aetna,3155293.626363636,68
2026-04,Anthem Central,3269.25,1
2026-04,Anthem Commercial Expansion,759757.76,3
2026-04,Anthem Retro Term Recovery Program,150.0,1
2026-04,Anthem SE,223182.98,2
2026-04,BCBS GA,33755.41,2
2026-04,BCBS NC,327572.309090909,41
2026-04,BCBSNCF_RX,17779.43,14
2026-04,BlueCross BlueShield South Carolina,108464.56,9
2026-04,Carefirst Commercial,601484.13,5
2026-04,Centene,4990853.51,8
2026-04,Centene Fidelis,10296.58,2
2026-04,Elevance,382613.636363636,1
2026-04,Elixir,-386.363636364,1
2026-04,Elixir Insurance,81223.18,6
2026-04,EmblemHealth,113157.02,28
2026-04,Empire,62325.34,2
2026-04,EverNorth,1338979.95,2
2026-04,Evernorth,2473065.227272727,1
2026-04,Excellus,61983.18,23
2026-04,GHI_RX,34890.23,1
2026-04,HAP_RX,9253.0,4
2026-04,HSS_RX,2880.91,2
2026-04,Health Alliance Plan,53408.6,9
2026-04,HealthSpring,1514600.66,34
2026-04,Medical Mutual of Ohio,2327.08,2
2026-04,NY State Health Insurance Plan,205395.02,16
2026-04,NYSHIP,132575.772727273,1
2026-04,OSCAR,85069.05,3
2026-04,OSC_RX,7377.97,2
2026-04,Tufts,35546.8,5
2026-04,Wellcare,4385887.33,3
2026-04,Wellpoint Part D,364684.23,2
2026-05,AETNA_CHK,29669.78,12
2026-05,AHP_RX,453517.78,210
2026-05,AHRP_RX,211327.58,151
2026-05,ASH,514.96,3
2026-05,Aetna,2616443.425454545,55
2026-05,Anthem Central,597.02,2
2026-05,Anthem Commercial Expansion,1529108.46,3
2026-05,Anthem Retro Term Recovery Program,200.0,1
2026-05,Anthem SE,190421.04,2
2026-05,BCBS GA,82457.99,2
2026-05,BCBS NC,504000.890909091,39
2026-05,BCBSNCF_RX,24390.91,9
2026-05,BlueCross BlueShield South Carolina,182366.56,6
2026-05,Centene,2015995.341818182,6
2026-05,Centene Fidelis,71330.95,4
2026-05,Cigna,2474904.545454545,2
2026-05,EMBFAC_RX,17125.99,11
2026-05,Elevance,270954.545454545,1
